Week_Start,Bull_Bear,High_Day,Low_Day
2023-01-17,Bullish,Monday,Thursday
2023-01-24,Bullish,Friday,Wednesday
2023-01-31,Bullish,Thursday,Tuesday
2023-02-07,Bullish,Tuesday,Friday
2023-02-14,Bearish,Tuesday,Friday
2023-02-21,Bearish,Tuesday,Friday
2023-02-28,Bullish,Monday,Thursday
2023-03-07,Bearish,Tuesday,Monday
2023-03-14,Bullish,Thursday,Wednesday
2023-03-21,Bullish,Wednesday,Friday
2023-03-28,Bullish,Monday,Tuesday
2023-04-04,Bearish,Tuesday,Thursday
2023-04-11,Bullish,Friday,Wednesday
2023-04-18,Bearish,Tuesday,Friday
2023-04-25,Bullish,Monday,Wednesday
2023-05-02,Bearish,Tuesday,Thursday
2023-05-09,Bullish,Wednesday,Wednesday
2023-05-16,Bullish,Friday,Tuesday
2023-05-23,Bullish,Friday,Wednesday
2023-05-30,Bullish,Monday,Wednesday
2023-06-06,Bullish,Monday,Thursday
2023-06-13,Bullish,Friday,Wednesday
2023-06-20,Bearish,Tuesday,Monday
2023-06-27,Bullish,Friday,Tuesday
2023-07-04,Bearish,Wednesday,Thursday
2023-07-11,Bullish,Monday,Tuesday
2023-07-18,Bullish,Wednesday,Tuesday
2023-07-25,Bullish,Thursday,Thursday
2023-08-01,Bearish,Tuesday,Friday
2023-08-08,Bearish,Thursday,Friday
2023-08-15,Bearish,Tuesday,Friday
2023-08-22,Bullish,Thursday,Friday
2023-08-29,Bullish,Friday,Tuesday
2023-09-05,Bearish,Tuesday,Thursday
2023-09-12,Bearish,Thursday,Monday
2023-09-19,Bearish,Wednesday,Monday
2023-09-26,Bearish,Friday,Wednesday
2023-10-03,Bullish,Monday,Tuesday
2023-10-10,Bullish,Thursday,Friday
2023-10-17,Bearish,Tuesday,Monday
2023-10-24,Bearish,Tuesday,Friday
2023-10-31,Bullish,Friday,Tuesday
2023-11-07,Bullish,Monday,Thursday
2023-11-14,Bullish,Monday,Tuesday
2023-11-21,Bullish,Wednesday,Tuesday
2023-11-28,Bullish,Friday,Thursday
2023-12-05,Bullish,Monday,Wednesday
2023-12-12,Bullish,Monday,Tuesday
2023-12-19,Bullish,Wednesday,Wednesday
2023-12-26,Bullish,Thursday,Friday
2024-01-02,Bullish,Monday,Friday
2024-01-09,Bullish,Friday,Tuesday
2024-01-16,Bullish,Monday,Wednesday
2024-01-23,Bullish,Monday,Tuesday
2024-01-30,Bullish,Friday,Wednesday
2024-02-06,Bullish,Monday,Tuesday
2024-02-13,Bullish,Friday,Tuesday
2024-02-20,Bullish,Friday,Wednesday
2024-02-27,Bullish,Monday,Tuesday
2024-03-05,Bullish,Friday,Tuesday
2024-03-12,Bullish,Tuesday,Friday
2024-03-19,Bullish,Thursday,Tuesday
2024-03-26,Bullish,Thursday,Tuesday
2024-04-02,Bearish,Thursday,Thursday
2024-04-09,Bearish,Tuesday,Monday
2024-04-16,Bearish,Tuesday,Friday
2024-04-23,Bullish,Monday,Thursday
2024-04-30,Bullish,Monday,Thursday
2024-05-07,Bullish,Friday,Wednesday
2024-05-14,Bullish,Thursday,Tuesday
2024-05-21,Bullish,Thursday,Thursday
2024-05-28,Bearish,Tuesday,Friday
2024-06-04,Bullish,Friday,Tuesday
2024-06-11,Bullish,Monday,Tuesday
2024-06-18,Bearish,Thursday,Monday
2024-06-25,Bullish,Friday,Monday
2024-07-02,Bullish,Monday,Tuesday
2024-07-09,Bullish,Monday,Tuesday
2024-07-16,Bearish,Tuesday,Friday
2024-07-23,Bearish,Tuesday,Thursday
2024-07-30,Bearish,Thursday,Monday
2024-08-06,Bullish,Monday,Tuesday
2024-08-13,Bullish,Monday,Tuesday
2024-08-20,Bullish,Monday,Thursday
2024-08-27,Bullish,Friday,Wednesday
2024-09-03,Bearish,Tuesday,Friday
2024-09-10,Bullish,Friday,Wednesday
2024-09-17,Bullish,Thursday,Tuesday
2024-09-24,Bullish,Thursday,Tuesday
2024-10-01,Bearish,Tuesday,Wednesday
2024-10-08,Bullish,Monday,Tuesday
2024-10-15,Bearish,Thursday,Tuesday
2024-10-22,Bearish,Tuesday,Wednesday
2024-10-29,Bearish,Wednesday,Monday
2024-11-05,Bullish,Monday,Tuesday
2024-11-12,Bearish,Tuesday,Friday
2024-11-19,Bullish,Monday,Tuesday
2024-11-26,Bullish,Monday,Wednesday
2024-12-03,Bullish,Friday,Tuesday
2024-12-10,Bullish,Wednesday,Tuesday
2024-12-17,Bearish,Wednesday,Friday
2024-12-24,Bearish,Thursday,Monday
2024-12-31,Bullish,Monday,Thursday
2025-01-07,Bearish,Tuesday,Monday
2025-01-14,Bullish,Friday,Tuesday
2025-01-21,Bearish,Friday,Monday
2025-01-28,Bearish,Friday,Monday
2025-02-04,Bullish,Friday,Tuesday
2025-02-11,Bullish,Friday,Wednesday
2025-02-18,Bearish,Wednesday,Monday
2025-02-25,Bearish,Wednesday,Monday
2025-03-04,Bearish,Tuesday,Monday
2025-03-11,Bullish,Monday,Thursday
2025-03-18,Bullish,Monday,Tuesday
2025-03-25,Bearish,Tuesday,Monday
2025-04-01,Bearish,Wednesday,Monday
2025-04-08,Bullish,Wednesday,Tuesday
2025-04-15,Bearish,Tuesday,Monday
2025-04-22,Bullish,Monday,Tuesday
2025-04-29,Bullish,Friday,Wednesday
2025-05-06,Bullish,Monday,Wednesday
2025-05-13,Bullish,Monday,Tuesday
2025-05-20,Bearish,Tuesday,Friday
2025-05-27,Bullish,Thursday,Friday
2025-06-03,Bullish,Friday,Thursday
