Week_Start,Bull_Bear,High_Day,Low_Day
2013-10-08,Bullish,Monday,Wednesday
2013-10-15,Bullish,Monday,Tuesday
2013-10-22,Bullish,Monday,Wednesday
2013-10-29,Bullish,Wednesday,Friday
2013-11-05,Bullish,Thursday,Thursday
2013-11-12,Bullish,Monday,Wednesday
2013-11-19,Bullish,Monday,Wednesday
2013-11-26,Bearish,Friday,Monday
2013-12-03,Bullish,Monday,Wednesday
2013-12-10,Bearish,Tuesday,Thursday
2013-12-17,Bullish,Monday,Wednesday
2013-12-24,Bullish,Friday,Tuesday
2013-12-31,Bearish,Tuesday,Monday
2014-01-07,Bearish,Monday,Monday
2014-01-14,Bullish,Wednesday,Tuesday
2014-01-21,Bearish,Tuesday,Monday
2014-01-28,Bearish,Thursday,Monday
2014-02-04,Bullish,Monday,Wednesday
2014-02-11,Bullish,Friday,Tuesday
2014-02-18,Bullish,Monday,Thursday
2014-02-25,Bearish,Friday,Monday
2014-03-04,Bullish,Friday,Tuesday
2014-03-11,Bearish,Tuesday,Friday
2014-03-25,Bullish,Monday,Friday
2014-04-01,Bearish,Friday,Monday
2014-04-08,Bearish,Thursday,Friday
2014-04-15,Bullish,Monday,Tuesday
2014-04-22,Bearish,Tuesday,Monday
2014-04-29,Bullish,Friday,Monday
2014-05-06,Bullish,Monday,Wednesday
2014-05-13,Bearish,Tuesday,Thursday
2014-05-20,Bullish,Friday,Tuesday
2014-05-27,Bullish,Monday,Tuesday
2014-06-03,Bullish,Monday,Wednesday
2014-06-10,Bearish,Tuesday,Thursday
2014-06-17,Bullish,Friday,Tuesday
2014-06-24,Bearish,Tuesday,Thursday
2014-07-01,Bullish,Thursday,Tuesday
2014-07-08,Bullish,Monday,Thursday
2014-07-15,Bearish,Wednesday,Thursday
2014-07-22,Bullish,Thursday,Monday
2014-07-29,Bearish,Tuesday,Friday
2014-08-05,Bullish,Monday,Thursday
2014-08-12,Bullish,Monday,Tuesday
2014-08-19,Bullish,Monday,Tuesday
2014-08-26,Bullish,Tuesday,Thursday
2014-09-02,Bearish,Thursday,Friday
2014-09-09,Bearish,Tuesday,Monday
2014-09-16,Bullish,Friday,Tuesday
2014-09-23,Bearish,Wednesday,Monday
2014-09-30,Bearish,Tuesday,Thursday
2014-10-07,Bearish,Wednesday,Monday
2014-10-14,Bullish,Monday,Wednesday
2014-10-21,Bullish,Friday,Tuesday
2014-10-28,Bullish,Monday,Tuesday
